Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Surface_tension, mN/m",Smiles#1,Smiles#2
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,323.15,37.88,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,328.15,37.51,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,298.15,40.27,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
III,propan-1-amine;hydrobromide,"propane-1,2,3-triol",0.333,0.667,298.15,51.7,CCCN.Br,C(C(CO)O)O
III,tetrabutylazanium bromide,acetic acid,0.5,0.5,298.15,34.5,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,293,53.5,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,303,51.77,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,313,49.64,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,323,41.94,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,333,36.56,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,343,35.5,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,2-(2-hydroxyethoxy)ethanol,0.333,0.667,353,32.23,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCO)O
III,tetrabutylazanium bromide,"ethane-1,2-diol",0.333,0.667,298.15,53.31,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)O
