Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
III,trimethyl(prop-2-enyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,298.15,1.78E-02,-1.750557039,C[N+](C)(C)CC=C.[Cl-],C(CO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,298.15,5.70E-05,-4.244125144,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,303.15,4.20E-05,-4.37675071,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,308.15,1.32E-04,-3.879426069,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,313.15,1.53E-04,-3.815308569,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,318.15,1.73E-04,-3.761953897,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,323.15,2.46E-04,-3.609064893,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,328.15,3.19E-04,-3.496209317,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,333.15,3.92E-04,-3.406713933,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,338.15,4.47E-04,-3.349692477,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,343.15,5.73E-04,-3.241845378,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,"propane-1,2,3-triol",0.0667,0.9333,348.15,6.98E-04,-3.156144577,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,298.15,5.34E-04,-3.272458743,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,303.15,6.82E-04,-3.166215625,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,313.15,9.43E-04,-3.025488307,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,323.15,1.38E-03,-2.860435734,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,333.15,1.96E-03,-2.708853238,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,343.15,2.60E-03,-2.584692708,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0909,0.9091,353.15,3.25E-03,-2.488250289,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,298.15,8.80E-04,-3.055517328,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,303.15,1.07E-03,-2.969400278,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,308.15,1.25E-03,-2.903089987,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,313.15,1.93E-03,-2.714442691,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,318.15,2.29E-03,-2.640733835,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,323.15,2.75E-03,-2.56035157,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,328.15,3.22E-03,-2.49268396,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,333.15,3.72E-03,-2.429807439,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,338.15,4.15E-03,-2.382370702,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,343.15,4.83E-03,-2.316412682,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,348.15,5.44E-03,-2.264800452,CCCCN.Br,C(C(CO)O)O,,,
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,353.15,6.08E-03,-2.216167857,CCCCN.Br,C(C(CO)O)O,,,
III,benzyl(tributyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,298.15,1.54E-03,-2.812479279,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(CO)O,,,
III,benzyl(triethyl)azanium chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.5,0.5,293.15,2.00E-06,-5.698970004,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,
III,benzyl(triethyl)azanium chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.5,0.5,298.15,2.00E-06,-5.698970004,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,
III,benzyl(triethyl)azanium chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.5,0.5,303.15,4.00E-06,-5.397940009,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,
III,benzyl(triethyl)azanium chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.5,0.5,308.15,5.00E-06,-5.301029996,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,
III,benzyl(triethyl)azanium chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.5,0.5,313.15,9.00E-06,-5.045757491,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,
